id,title
7936,Bayesian Coreset Optimization for Personalized Federated Learning
7162,Adaptive Instrument Design for Indirect Experiments
1796,Selective Mixup Fine-Tuning for Optimizing Non-Decomposable Objectives
3140,Learning from Label Proportions: Bootstrapping Supervised Learners via Belief Propagation
6856,Distributionally Robust Optimization with Bias and Variance Reduction
9034,Beyond Spatio-Temporal Representations: Evolving Fourier Transform for Temporal Graphs
8395,OctoPack: Instruction Tuning Code Large Language Models
4171,Benchmarking Algorithms for Federated Domain Generalization
1870,Faithful Explanations of Black-box NLP Models Using LLM-generated Counterfactuals
7376,Learning model uncertainty as variance-minimizing instance weights
9297,f-FERM: A  Scalable Framework for  Robust Fair Empirical Risk Minimization
5267,CABINET: Content Relevance-based Noise Reduction for Table Question Answering
9491,Fixed-Budget Differentially Private Best Arm Identification
3669,On Differentially Private Federated Linear Contextual Bandits
6942,GNNX-BENCH: Unravelling the Utility of Perturbation-based GNN Explainers through In-depth Benchmarking
7839,A Good Learner can Teach Better: Teacher-Student Collaborative Knowledge Distillation
3619,DSPy: Compiling Declarative Language Model Calls into State-of-the-Art Pipelines
5605,"Large Content And Behavior Models To Understand, Simulate, And Optimize Content And Behavior"
9383,SaNN: Simple Yet Powerful Simplicial-aware Neural Networks
7912,Mirage: Model-agnostic Graph Distillation for Graph Classification
9334,Task Planning for Visual Room Rearrangement under Partial Observability
1014,Enhancing Tail Performance in Extreme Classifiers by Label Variance Reduction
7354,Leveraging Uncertainty Estimates To Improve Classifier Performance
635,Correlated Noise Provably Beats Independent Noise for Differentially Private Learning
8958,BroGNet: Momentum-Conserving Graph Neural Stochastic Differential Equation for Learning Brownian Dynamics
